entidad,municipio,cabecera,lat,lon,poblacion_total,poblacion_femenina,poblacion_masculina,pob_0_14,pob_15_64,pob_65_mas,grado_escolaridad,pea,pob_lengua_indigena,viviendas_totales,promedio_ocupantes_vivienda,pob_sin_afiliacion_salud
Hidalgo,Almoloya,Almoloya,19.70332,-98.40329,12546,6476,6070,3366,8052,1128,8.51,5597,19,4559,3.52,2682
Hidalgo,Apan,Apan,19.71,-98.45194,46681,24393,22288,11525,30831,4323,9.42,22470,98,16113,3.6,13729
Hidalgo,Atitalaquia,Cardonal,20.06061,-99.2316,31525,16044,15481,7463,21550,2512,9.94,14660,145,10764,3.61,8290
Hidalgo,Atlapexco,Atlapexco,21.01711,-98.34819,19812,10301,9511,5235,11938,2630,7.77,7697,13335,6528,3.73,3148
Hidalgo,Atotonilco de Tula,Paseos de la Pradera,19.89697,-99.22705,62470,32056,30414,17287,42090,3048,9.88,29567,789,36898,3.52,17327
Hidalgo,Atotonilco el Grande,Atotonilco el Grande,20.28688,-98.66906,30135,15874,14261,8037,19176,2921,8.17,15469,131,12095,3.59,10029
Hidalgo,Calnali,Calnali,20.89718,-98.58353,16150,8406,7744,4186,9515,2449,7.05,6683,4484,7011,3.41,3214
Hidalgo,Cardonal,Pozuelos,20.49307,-99.05954,19431,10123,9308,5129,12314,1988,8.55,9179,10523,7531,3.72,5363
Hidalgo,Chapantongo,Santa María Amealco,20.2369,-99.54929,12967,6690,6277,3328,8049,1590,7.79,5733,48,6109,3.33,3961
Hidalgo,Chapulhuacán,Chapulhuacán,21.15942,-98.90459,22903,11641,11262,6831,13690,2382,7.34,9655,1488,8362,3.65,4516
Hidalgo,Chilcuautla,Tunititlán,20.2514,-99.24622,18909,9719,9190,4988,12146,1775,8.74,9800,7178,7355,3.66,6330
Hidalgo,Cuautepec de Hinojosa,Cuautepec,20.03547,-98.30974,60421,31555,28866,16814,38652,4932,8.02,28789,229,21130,3.75,24705
Hidalgo,El Arenal,El Arenal,20.22142,-98.91105,19836,10261,9575,5241,12955,1639,9,10161,276,6789,3.77,7157
Hidalgo,Eloxochitlán,Hualula (San Juan Hualula),20.70862,-98.83629,2593,1354,1239,578,1520,495,7.3,786,14,1455,3.06,532
Hidalgo,Emiliano Zapata,Emiliano Zapata,19.65701,-98.54742,15175,7837,7338,3752,9947,1475,9.48,7465,49,5026,3.65,3880
Hidalgo,Epazoyucan,Epazoyucan,20.01802,-98.63621,16285,8406,7879,3869,10917,1494,9.12,7913,120,6663,3.37,5795
Hidalgo,Francisco I. Madero,Tepatepec,20.24519,-99.08889,36248,18952,17296,8654,24168,3423,10.19,17991,589,12629,3.73,10635
Hidalgo,Huasca de Ocampo,Río Seco Puente de Doria,20.20879,-98.4982,17607,9288,8319,5119,10860,1628,7.79,8417,71,6724,3.71,6033
Hidalgo,Huautla,Huautla,21.03139,-98.28682,20673,10812,9861,5248,11720,3705,7.56,9002,13651,7118,3.73,2988
Hidalgo,Huazalingo,San Francisco,21.01925,-98.48623,12766,6571,6195,3786,7588,1392,7.14,4728,9471,3577,4.21,1263
Hidalgo,Huehuetla,Huehuetla,20.46031,-98.07842,22846,11830,11016,6528,13661,2657,6.44,10253,10712,8538,3.62,2894
Hidalgo,Huejutla de Reyes,Huejutla de Reyes,21.13921,-98.4206,126781,65460,61321,37625,77907,11247,8.42,56215,64555,41088,4.02,23699
Hidalgo,Huichapan,Huichapan,20.37531,-99.65118,47425,24645,22780,12082,30672,4654,8.79,22479,636,17933,3.67,13451
Hidalgo,Ixmiquilpan,Ixmiquilpan,20.48487,-99.21877,98654,52214,46440,26528,64587,7530,9.36,53552,34500,36676,3.69,37186
Hidalgo,Jacala de Ledezma,Jacala,21.0083,-99.18857,12290,6430,5860,3026,7647,1617,7.68,5382,63,5881,3.26,1662
Hidalgo,Jaltocán,Jaltocán,21.13313,-98.53832,10523,5385,5138,2856,6412,1250,7.25,4575,7417,3584,3.84,1136
Hidalgo,Juárez Hidalgo,San Lorenzo Itztacoyotla,20.82238,-98.8168,2895,1525,1370,701,1718,476,7.29,858,41,1472,3.03,738
Hidalgo,La Misión,La Misión,21.09942,-99.12319,9819,5062,4757,2599,5874,1346,6.16,3969,42,4256,3.35,1145
Hidalgo,Lolotla,Ixtlahuaco,20.88363,-98.70335,9474,4897,4577,2741,5537,1196,7.7,3506,2137,3491,3.64,1701
Hidalgo,Metepec,Metepec,20.23841,-98.32216,13078,6893,6185,3843,8251,984,8.12,5914,147,4265,4,5788
Hidalgo,Metztitlán,Metztitlán,20.5947,-98.76414,20962,10888,10074,5074,13180,2708,7.53,9658,2521,9490,3.36,6998
Hidalgo,Mineral de la Reforma,La Providencia Siglo XXI,20.06483,-98.71945,202749,106490,96259,46226,145508,10578,11.7,109231,4346,97588,3.17,59328
Hidalgo,Mineral del Chico,Benito Juárez,20.1618,-98.82634,8878,4577,4301,2416,5665,794,8.31,4521,59,3657,3.5,3219
Hidalgo,Mineral del Monte,Mineral del Monte,20.14049,-98.67153,14324,7507,6817,3288,9752,1279,9.76,6976,41,4815,3.88,5137
Hidalgo,Mixquiahuala de Juárez,Mixquiahuala de Juárez,20.22938,-99.2138,47222,24597,22625,11520,31742,3942,9.74,24493,578,15631,3.71,12763
Hidalgo,Molango de Escamilla,Molango de Escamilla,20.7865,-98.73081,11578,5893,5685,3059,6985,1534,8.58,5139,108,4870,3.42,1695
Hidalgo,Nicolás Flores,Bocua,20.72293,-99.16539,6265,3229,3036,1751,3710,804,7.77,2401,3193,2624,3.5,1106
Hidalgo,Nopala de Villagrán,San Sebastián Tenochtitlán,20.28006,-99.68825,16948,8711,8237,4068,10618,2260,8.02,8329,50,7434,3.29,4405
Hidalgo,Omitlán de Juárez,San Antonio el Paso,20.14764,-98.61626,9295,4873,4422,2481,6008,806,8.44,4301,28,3415,3.71,3505
Hidalgo,Pachuca de Soto,Pachuca de Soto,20.12236,-98.737,314331,164772,149559,64957,218928,28212,11.52,166559,10168,124339,3.34,99443
Hidalgo,Pacula,Jiliapan,20.98254,-99.34452,4748,2518,2230,1236,2808,704,6.58,1486,134,2474,3.32,1364
Hidalgo,Pisaflores,Pisaflores,21.19478,-99.006,18723,9614,9109,6653,10257,1813,7.04,7394,179,6267,3.84,3091
Hidalgo,Progreso de Obregón,Progreso de Obregón,20.2482,-99.18936,23641,12476,11165,5631,15802,2205,10.17,11663,363,8031,3.75,7674
Hidalgo,San Agustín Metzquititlán,Mezquititlán,20.5326,-98.63862,9449,4867,4582,2140,6086,1223,8.3,4105,44,3906,3.33,3075
Hidalgo,San Agustín Tlaxiaca,San Agustín Tlaxiaca,20.11566,-98.88678,38891,19941,18950,9500,26148,3235,9.36,20095,310,14153,3.74,15445
Hidalgo,San Bartolo Tutotepec,San Bartolo Tutotepec,20.39914,-98.20206,17699,8962,8737,4882,10756,2061,6.46,8456,5037,6739,3.52,1855
Hidalgo,San Felipe Orizatlán,San Felipe Orizatlán,21.17094,-98.60782,38492,19764,18728,11269,22882,4341,6.87,16688,20451,13448,3.76,8939
Hidalgo,San Salvador,San Antonio Zaragoza,20.25494,-98.99862,36796,18927,17869,9289,24031,3476,9.6,18739,7068,12948,3.75,10666
Hidalgo,Santiago Tulantepec de Lugo Guerrero,Santiago Tulantepec,20.03919,-98.35701,39561,20915,18646,10098,26576,2860,9.48,19449,401,14169,3.55,15106
Hidalgo,Santiago de Anaya,Santiago de Anaya,20.38258,-98.96395,18329,9383,8946,4799,11835,1695,9,9234,7657,7041,3.63,4673
Hidalgo,Singuilucan,Singuilucan,19.9675,-98.51722,15142,7763,7379,4112,9624,1406,8.01,6486,31,5367,3.7,7167
Hidalgo,Tasquillo,Tasquillo,20.55177,-99.31256,17441,9295,8146,4306,11217,1913,8.72,7886,5750,7953,3.42,5355
Hidalgo,Tecozautla,Tecozautla,20.53387,-99.63492,38010,19873,18137,10209,24375,3420,7.89,18159,2764,14162,3.71,9524
Hidalgo,Tenango de Doria,Tenango de Doria,20.33806,-98.22673,17503,9108,8395,5133,10600,1770,7.23,8211,4364,6462,3.74,2194
Hidalgo,Tepeapulco,Fray Bernardino de Sahagún (Ciudad Sahagún),19.77271,-98.5819,56245,29305,26940,12392,38015,5820,10.24,27296,292,20610,3.41,15701
Hidalgo,Tepehuacán de Guerrero,Texcapa,21.09223,-98.85378,31235,15667,15568,10790,17872,2573,6.46,11153,10139,9235,4.16,2308
Hidalgo,Tepeji del Río de Ocampo,Tepeji del Río de Ocampo,19.90522,-99.34181,90546,46484,44062,23195,60838,6478,9.24,44815,2823,30537,3.67,23557
Hidalgo,Tepetitlán,Sayula Pueblo,20.20007,-99.39752,10830,5575,5255,2572,7000,1258,8.77,5151,226,4771,3.32,2741
Hidalgo,Tetepango,Tetepango,20.10266,-99.15612,11768,6028,5740,2901,7930,932,9.06,5263,31,3960,3.81,3876
Hidalgo,Tezontepec de Aldama,Presas,20.16055,-99.25289,55134,28045,27089,14575,36480,4077,9.15,28468,230,18452,3.71,17958
Hidalgo,Tianguistengo,Tianguistengo,20.72821,-98.63085,14340,7322,7018,4185,8417,1738,6.72,5354,4559,5842,3.56,2512
Hidalgo,Tizayuca,Tizayuca,19.84109,-98.98158,168302,86255,82047,46159,113995,8081,10.23,82520,2676,87237,3.54,59196
Hidalgo,Tlahuelilpan,Tlahuelilpan,20.13063,-99.23468,19067,9763,9304,4816,12806,1439,9.37,9431,116,5936,3.88,6508
Hidalgo,Tlahuiltepa,Buenavista,20.99136,-98.97503,9086,4675,4411,2312,5381,1393,6.43,3584,48,4274,3.17,1770
Hidalgo,Tlanalapa,Tlanalapa,19.81789,-98.60391,11113,5747,5366,2483,7513,1117,10.25,5098,16,3982,3.49,3023
Hidalgo,Tlanchinol,Tlanchinol,20.98935,-98.66028,37722,19245,18477,11867,22451,3402,7.3,14108,16061,11663,3.95,3480
Hidalgo,Tlaxcoapan,Tlaxcoapan,20.09161,-99.22159,28626,14720,13906,6912,19499,2210,9.39,14109,94,8012,4.07,11201
Hidalgo,Tolcayuca,Tolcayuca,19.95659,-98.92176,21362,11058,10304,5529,14327,1504,9.55,10196,196,9940,3.54,7131
Hidalgo,Tula de Allende,Tula de Allende,20.05522,-99.34319,115107,59519,55588,26838,78212,9974,10.12,57244,584,43010,3.44,31170
Hidalgo,Tulancingo de Bravo,Tulancingo,20.0806,-98.36807,168369,88602,79767,42768,112647,12867,9.61,87974,4540,59262,3.65,75227
Hidalgo,Villa de Tezontepec,Tezontepec,19.87986,-98.81929,13032,6706,6326,3335,8755,942,9.16,6645,47,4484,3.78,5779
Hidalgo,Xochiatipan,Ohuatipa,20.89253,-98.26208,18260,9417,8843,5632,10590,2038,6.25,7455,15808,5501,4.18,1657
Hidalgo,Xochicoatlán,Xochicoatlán,20.77685,-98.67972,7015,3561,3454,1617,4279,1119,8,2844,82,3339,3.18,1288
Hidalgo,Yahualica,Santa Teresa,20.8905,-98.38355,24674,12614,12060,7373,14611,2686,6.41,9380,18557,7743,3.93,2842
Hidalgo,Zacualtipán de Ángeles,Zacualtipán,20.64518,-98.65363,38155,20018,18137,10354,25037,2763,8.7,18912,1774,13346,3.6,14991
Hidalgo,Zapotlán de Juárez,Acayuca,20.03052,-98.84231,21443,11101,10342,5221,14391,1830,9.27,11181,228,7808,3.66,9018
Hidalgo,Zempoala,Privadas Santa Matilde,20.02041,-98.78939,57906,30000,27906,13943,39589,4366,10.65,29180,490,31807,3.31,20884
Hidalgo,Zimapán,Zimapán,20.73807,-99.38311,39927,21028,18899,10621,25312,3994,8.78,17060,4266,15807,3.62,15016
Jalisco,Acatic,Acatic,20.77944,-102.90528,23175,11792,11383,6733,14458,1984,7.29,11515,12,8750,3.61,7963
Jalisco,Acatlán de Juárez,Acatlán de Juárez,20.42139,-103.58722,25250,12006,13244,7487,15866,1893,9.23,10912,648,7997,3.71,6336
Jalisco,Ahualulco de Mercado,Ahualulco de Mercado,20.70056,-103.975,23630,11846,11784,6004,15234,2368,9.52,11710,159,8386,3.58,5203
Jalisco,Amacueca,Amacueca,20.01056,-103.59611,5743,2967,2776,1611,3488,644,8.34,2480,12,2284,3.6,1448
Jalisco,Amatitán,Amatitán,20.835,-103.73,16490,8306,8184,4745,10546,1198,9.2,7625,145,5097,3.9,5082
Jalisco,Ameca,Ameca,20.54861,-104.04306,60386,30822,29564,14856,38559,6970,9.06,29067,153,23046,3.45,13885
Jalisco,Arandas,Arandas,20.70556,-102.34028,80609,41117,39492,21867,52889,5853,8.1,41838,259,29956,3.53,32187
Jalisco,Atemajac de Brizuela,Atemajac de Brizuela,20.13945,-103.72454,7758,3911,3847,2529,4630,599,7.64,2904,11,2641,4.26,3864
Jalisco,Atengo,Soyatlán del Oro,20.30609,-104.28096,5599,2766,2833,1524,3300,775,7.66,1961,3,2314,3.66,1384
Jalisco,Atenguillo,Atenguillo,20.41472,-104.4925,4176,2121,2055,973,2578,625,8.05,1746,3,1903,3.19,575
Jalisco,Atotonilco el Alto,Atotonilco el Alto,20.55056,-102.50417,64009,32438,31571,17840,40743,5425,8.24,31024,71,21920,3.66,18141
Jalisco,Atoyac,Atoyac,20.01056,-103.51639,8689,4475,4214,2195,5366,1128,7.43,3989,18,3585,3.42,2006
Jalisco,Autlán de Navarro,Autlán de Navarro,19.77139,-104.36528,64931,33045,31886,16486,42227,6188,9.74,32845,718,24636,3.41,11962
Jalisco,Ayotlán,Ayotlán,20.52806,-102.32833,41552,21188,20364,12547,25429,3572,7.07,18996,48,14392,3.87,20735
Jalisco,Ayutla,Ayutla,20.12917,-104.34778,12880,6466,6414,3523,7703,1654,8.14,5795,6,5338,3.63,3189
Jalisco,Bolaños,Tuxpan de Bolaños,21.87483,-104.01322,7043,3541,3502,2805,3845,393,7.21,1447,4026,2419,4.19,1170
Jalisco,Cabo Corrientes,El Tuito,20.31833,-105.32389,10940,5296,5644,3111,6595,1234,7.71,5456,24,4674,3.44,2096
Jalisco,Casimiro Castillo,La Resolana,19.60361,-104.43472,20548,10354,10194,5522,12742,2281,8.13,9608,42,8239,3.29,2702
Jalisco,Cañadas de Obregón,Cañadas de Obregón,21.14861,-102.68528,4388,2197,2191,1098,2616,674,6.83,1707,8,2402,3.14,888
Jalisco,Chapala,Chapala,20.29333,-103.18972,55196,28381,26815,13428,33253,8496,9.96,26183,102,22868,3.36,24369
Jalisco,Chimaltitán,Chimaltitán,21.77887,-103.78071,3270,1646,1624,1122,1748,400,6.71,910,79,1332,3.66,1185
Jalisco,Chiquilistlán,Chiquilistlán,20.08861,-103.85806,5983,3008,2975,1916,3490,577,7.94,2355,3,2187,4.08,1082
Jalisco,Cihuatlán,Cihuatlán,19.23834,-104.563,40139,20160,19979,11392,25396,3351,8.43,20220,632,16334,3.48,11568
Jalisco,Cocula,Cocula,20.3675,-103.82417,29267,14872,14395,7630,18167,3470,8.61,13750,42,11676,3.59,7189
Jalisco,Colotlán,Colotlán,22.11722,-103.26472,19689,10207,9482,4971,12730,1988,9.7,9230,561,8356,3.42,5363
Jalisco,Concepción de Buenos Aires,Concepción de Buenos Aires,19.97861,-103.25722,6334,3136,3198,1618,3980,732,7.56,2889,9,2916,3.42,1470
Jalisco,Cuautitlán de García Barragán,Cuautitlán de García Barragán,19.44972,-104.35694,18370,9023,9347,5456,11065,1848,7.34,8417,298,6586,3.7,2935
Jalisco,Cuautla,Cuautla,20.20139,-104.4075,2166,1109,1057,526,1293,347,7.46,852,1,1246,3.19,299
Jalisco,Cuquío,Cuquío,20.9275,-103.02389,17820,9165,8655,4785,11003,2032,7.27,7156,3,7329,3.62,4742
Jalisco,Degollado,Degollado,20.4475,-102.135,21226,10963,10263,6084,12945,2197,7.15,9264,39,9462,3.57,11848
Jalisco,Ejutla,Ejutla,19.90639,-104.16194,1981,974,1007,443,1158,380,7.8,786,0,1100,2.97,344
Jalisco,El Arenal,El Arenal,20.77611,-103.69389,21115,10770,10345,6154,13473,1485,9.28,9586,103,8977,3.72,6165
Jalisco,El Grullo,El Grullo,19.8075,-104.21556,25920,13294,12626,6820,16409,2682,9.22,13194,314,9594,3.47,6458
Jalisco,El Limón,El Limón,19.82444,-104.15222,5368,2698,2670,1145,3232,991,8.46,2446,3,3033,2.99,792
Jalisco,El Salto,Las Pintas,20.57639,-103.32111,232852,111162,121690,65557,157211,9906,8.92,111997,1283,80505,3.72,77635
Jalisco,Encarnación de Díaz,Encarnación de Díaz,21.52444,-102.23306,53039,27472,25567,14969,33370,4700,7.68,25385,38,19519,3.68,17811
Jalisco,Etzatlán,Etzatlán,20.76722,-104.07833,20011,10227,9784,5453,12526,2032,9.42,9762,18,6910,3.71,4023
Jalisco,Guachinango,Guachinango,20.57639,-104.37722,4199,2045,2154,1043,2500,636,7.77,1505,5,2035,3.3,1176
Jalisco,Guadalajara,Guadalajara,20.67639,-103.34222,1385629,718632,666997,272081,940751,168417,10.96,747410,4150,454874,3.46,408824
Jalisco,Gómez Farías,San Sebastián del Sur,19.79444,-103.47306,16431,8353,8078,4517,10545,1368,8.41,7954,147,5089,4.16,4147
Jalisco,Hostotipaquillo,Hostotipaquillo,21.05806,-104.05028,8732,4364,4368,2520,5291,921,7.5,3561,18,3209,3.79,1514
Jalisco,Huejuquilla el Alto,Huejuquilla el Alto,22.62861,-103.89417,10015,5177,4838,3120,5656,1239,7.71,3895,840,4341,3.72,1815
Jalisco,Huejúcar,Huejúcar,22.36222,-103.21167,5920,3013,2907,1418,3526,976,7.76,2278,10,3106,3.33,1923
Jalisco,Ixtlahuacán de los Membrillos,Los Freseros (Los Sabinos),20.42137,-103.18581,67969,34547,33422,20689,43982,3295,9.01,33290,301,34492,3.44,20989
Jalisco,Ixtlahuacán del Río,Ixtlahuacán del Río,20.86417,-103.23917,20465,10489,9976,5844,12421,2200,7.6,9239,27,8208,3.55,8566
Jalisco,Jalostotitlán,Jalostotitlán,21.16861,-102.46111,32678,16666,16012,9244,20494,2940,7.96,15728,18,12314,3.64,14056
Jalisco,Jamay,Jamay,20.2945,-102.70972,24894,12430,12464,6959,15734,2157,8.28,11223,97,8321,3.94,7237
Jalisco,Jesús María,Jesús María,20.6075,-102.22,18982,10108,8874,5310,11642,2030,6.5,8773,55,9309,3.49,8969
Jalisco,Jilotlán de los Dolores,Jilotlán de los Dolores,19.37056,-103.01972,9425,4372,5053,2613,5927,885,6.39,4427,54,3638,3.43,3645
Jalisco,Jocotepec,Jocotepec,20.28444,-103.42528,47105,23876,23229,13827,29069,4189,8.27,23572,296,16899,4.24,19215
Jalisco,Juanacatlán,La Aurora,20.56746,-103.14223,30855,15596,15259,9832,19492,1526,9.1,14290,37,12428,3.54,8551
Jalisco,Juchitlán,Juchitlán,20.08386,-104.09625,5534,2865,2669,1569,3186,779,7.98,2204,14,2627,3.45,1025
Jalisco,La Barca,La Barca,20.29028,-102.54194,67937,35086,32851,18713,42583,6640,8.4,31182,96,23597,3.83,22226
Jalisco,La Huerta,La Huerta,19.485,-104.64333,23258,11632,11626,6490,14220,2548,7.89,11643,202,10270,3.32,4470
Jalisco,La Manzanilla de la Paz,La Manzanilla de la Paz,20.00444,-103.15,4099,2097,2002,996,2575,528,7.95,1722,4,1924,3.28,1482
Jalisco,Lagos de Moreno,Lagos de Moreno,21.35639,-101.92917,172403,88426,83977,48900,111416,12049,8.94,86038,111,59151,3.82,43824
Jalisco,Magdalena,Magdalena,20.90639,-103.97611,21781,11192,10589,6441,13341,1999,8.79,9655,28,7377,3.72,3994
Jalisco,Mascota,Mascota,20.52556,-104.78222,14451,7412,7039,3608,8903,1936,8.92,7015,52,6179,3.34,2897
Jalisco,Mazamitla,Mazamitla,19.91722,-103.02028,14043,7283,6760,3945,8823,1272,8.46,6929,36,7270,3.82,5139
Jalisco,Mexticacán,Mexticacán,21.26306,-102.77778,5307,2860,2447,1396,3107,804,7.25,2000,0,3159,3.25,710
Jalisco,Mezquitic,Mezquitic,22.39,-103.72812,22083,11468,10615,9454,11332,1296,5.94,3484,16102,6767,4.45,2288
Jalisco,Mixtlán,Mixtlán,20.44056,-104.40889,3638,1821,1817,905,2215,518,7.66,1502,2,1718,3.37,937
Jalisco,Ocotlán,Ocotlán,20.35139,-102.76806,106050,54275,51775,27855,69196,8991,9.42,52863,162,35689,3.64,24919
Jalisco,Ojuelos de Jalisco,Ojuelos de Jalisco,21.86417,-101.59333,33588,17330,16258,10713,20344,2530,7.74,14670,23,10804,4.05,8840
Jalisco,Pihuamo,Pihuamo,19.25244,-103.37504,11386,5712,5674,2925,6945,1516,6.89,5070,20,5191,3.19,2840
Jalisco,Poncitlán,Poncitlán,20.38139,-102.92417,53659,27279,26380,17605,32105,3890,8.18,24287,37,16457,4.33,17565
Jalisco,Puerto Vallarta,Puerto Vallarta,20.61361,-105.22722,291839,145652,146187,72070,201344,18347,10.31,163237,3069,118295,3.36,75826
Jalisco,Quitupan,Quitupan,19.92765,-102.87215,7734,4057,3677,1859,4598,1277,6.24,3263,3,4818,3.22,3491
Jalisco,San Cristóbal de la Barranca,San Cristóbal de la Barranca,21.04444,-103.42917,2924,1459,1465,841,1732,351,6.84,995,106,1214,3.58,1151
Jalisco,San Diego de Alejandría,San Diego de Alejandría,20.99306,-101.99361,7609,3870,3739,2289,4592,728,7.24,3499,10,2767,3.84,1965
Jalisco,San Gabriel,San Gabriel,19.74778,-103.76646,16548,8351,8197,4675,10141,1731,7.87,7375,441,5615,3.64,3811
Jalisco,San Ignacio Cerro Gordo,San Ignacio Cerro Gordo,20.74306,-102.53611,18341,9427,8914,5555,11222,1536,6.97,8265,46,6732,3.74,8485
Jalisco,San Juan de los Lagos,San Juan de los Lagos,21.24778,-102.33278,72230,36502,35728,20967,46105,5101,8.25,36700,79,23848,3.86,24000
Jalisco,San Juanito de Escobedo,San Juanito de Escobedo,20.80047,-104.00099,9433,4713,4720,2578,5775,1080,8.67,4092,9,3718,3.54,1426
Jalisco,San Julián,San Julián,21.00972,-102.18083,16792,8741,8051,4588,10554,1650,7.54,7856,10,6311,3.5,6313
Jalisco,San Marcos,San Marcos,20.79,-104.1975,3791,1898,1893,1028,2279,484,9.04,1483,5,1524,3.67,855
Jalisco,San Martín Hidalgo,San Martín Hidalgo,20.435,-103.92861,28102,14301,13801,6908,17421,3773,9.01,12475,17,11909,3.45,9283
Jalisco,San Martín de Bolaños,San Martín de Bolaños,21.68356,-103.8142,3095,1585,1510,937,1765,386,7.35,999,157,1341,3.57,465
Jalisco,San Miguel el Alto,San Miguel el Alto,21.03056,-102.39806,31965,16416,15549,8847,20133,2985,7.76,16246,41,11707,3.62,11704
Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.63861,-103.30722,687127,348283,338844,175311,464129,43111,10.18,357168,3194,209978,3.7,204413
Jalisco,San Sebastián del Oeste,San Felipe de Híjar,20.90146,-104.72185,5086,2451,2635,1292,3051,743,7.54,2250,11,2482,3.22,797
Jalisco,Santa María de los Ángeles,Santa María de los Ángeles,22.17333,-103.22306,3515,1799,1716,843,2067,605,7.14,1191,3,1829,3.25,722
Jalisco,Santa María del Oro,Santa María del Oro,19.5875,-102.90833,1815,901,914,405,1145,265,6.17,663,0,890,3.17,250
Jalisco,Sayula,Sayula,19.88361,-103.59722,37186,19202,17984,9946,23974,3266,9.31,18078,318,11563,3.9,8452
Jalisco,Tala,Tala,20.6525,-103.70278,87690,44173,43517,24164,57324,6171,8.93,44064,1038,36348,3.52,21232
Jalisco,Talpa de Allende,Talpa de Allende,20.38139,-104.81806,14997,7503,7494,3966,9242,1789,8.18,7640,26,5748,3.41,2938
Jalisco,Tamazula de Gordiano,Tamazula de Gordiano,19.67639,-103.25,38955,19835,19120,9664,24501,4790,8.01,18006,212,15963,3.33,7280
Jalisco,Tapalpa,Tapalpa,19.94556,-103.75417,21245,10684,10561,6815,13165,1265,7.75,9664,284,7764,4.35,10389
Jalisco,Tecalitlán,Tecalitlán,19.46944,-103.30667,16705,8449,8256,4297,10360,2048,7.96,7938,25,6462,3.39,3781
Jalisco,Techaluta de Montenegro,Techaluta de Montenegro,20.07417,-103.55167,4072,2061,2011,1120,2473,479,8.16,1427,19,1511,3.72,305
Jalisco,Tecolotlán,Tecolotlán,20.20361,-104.045,16603,8372,8231,4280,10166,2157,8.49,7807,17,7419,3.32,3051
Jalisco,Tenamaxtlán,Tenamaxtlán,20.21861,-104.16028,7302,3728,3574,1760,4478,1064,8.56,3330,23,3374,3.22,1855
Jalisco,Teocaltiche,Teocaltiche,21.43444,-102.57028,39839,20680,19159,11092,24607,4091,7.57,18412,37,15816,3.6,13743
Jalisco,Teocuitatlán de Corona,Teocuitatlán de Corona,20.09333,-103.38,11039,5544,5495,2554,6843,1641,7.52,4970,90,5081,3.34,2726
Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,20.8175,-102.75722,150190,76480,73710,40338,98299,11496,8.84,78547,250,52997,3.66,42785
Jalisco,Tequila,Tequila,20.87944,-103.83565,44353,22462,21891,12765,28328,3257,9.23,21120,94,13555,3.97,14174
Jalisco,Teuchitlán,Teuchitlán,20.68528,-103.84917,9647,4938,4709,2382,6127,1138,8.63,4083,15,3822,3.56,1754
Jalisco,Tizapán el Alto,Tizapán el Alto,20.15861,-103.03917,22758,11579,11179,6495,13862,2373,7.51,10427,46,8971,3.59,11529
Jalisco,Tlajomulco de Zúñiga,Hacienda Santa Fe,20.51806,-103.38056,727750,367408,360342,215808,485534,26105,10.11,370745,4052,304504,3.42,210332
Jalisco,Tolimán,Cópala,19.61056,-103.76694,11219,5654,5565,3370,6727,1122,7.57,4783,419,3415,3.98,2656
Jalisco,Tomatlán,Tomatlán,19.94152,-105.24527,36316,17872,18444,10557,22089,3628,7.76,18094,618,13759,3.5,6101
Jalisco,Tonalá,Tonalá,20.62333,-103.24556,569913,288218,281695,152833,383947,28914,9.75,294989,1413,175986,3.78,201707
Jalisco,Tonaya,Tonaya,19.78417,-103.97083,5961,3063,2898,1373,3726,862,8.11,2832,2,2619,3.29,1224
Jalisco,Tonila,San Marcos,19.44611,-103.50639,7565,3796,3769,1848,4793,924,8.33,3285,61,3058,3.5,1260
Jalisco,Totatiche,Temastián (La Cantera),21.97711,-103.52433,4180,2065,2115,1035,2398,747,7.8,1576,47,2343,3.13,920
Jalisco,Tototlán,Tototlán,20.54361,-102.78922,23573,12011,11562,6595,14723,2209,7.75,10899,13,8528,3.63,6624
Jalisco,Tuxcacuesco,Tuxcacuesco,19.69722,-103.98359,5482,2698,2784,1536,3336,609,7.12,2230,300,1876,3.57,753
Jalisco,Tuxcueca,San Luis Soyatlán,20.195,-103.30222,6702,3455,3247,2024,3931,747,8.03,3002,6,2832,3.82,2670
Jalisco,Tuxpan,Tuxpan,19.55444,-103.37222,37518,19166,18352,9956,23844,3714,9.08,17885,491,11978,3.87,7839
Jalisco,Unión de San Antonio,Unión de San Antonio,21.12806,-102.00722,19069,9746,9323,5467,11877,1725,7.15,9233,3,6996,3.86,6230
Jalisco,Unión de Tula,Unión de Tula,19.95444,-104.26444,13799,7115,6684,3569,8355,1875,8.76,6139,15,6050,3.34,3485
Jalisco,Valle de Guadalupe,Valle de Guadalupe,21.0106,-102.61777,6627,3358,3269,1830,4124,673,8.11,3125,0,2644,3.56,1966
Jalisco,Valle de Juárez,Valle de Juárez,19.93361,-102.94028,6151,3161,2990,1543,3758,850,7.63,2843,4,3012,3.27,3082
Jalisco,Villa Corona,Villa Corona,20.41639,-103.66139,19063,9573,9490,5193,11847,2023,8.33,8279,269,7463,3.66,4695
Jalisco,Villa Guerrero,Villa Guerrero,21.98306,-103.59667,5525,2763,2762,1629,3121,775,7.43,2284,333,2501,3.33,1258
Jalisco,Villa Hidalgo,Villa Hidalgo,21.67444,-102.58528,20088,10418,9670,5822,12587,1678,7.65,9523,8,7962,3.58,10666
