entidad,municipio,cabecera,lat,lon,poblacion_total,poblacion_femenina,poblacion_masculina,pob_0_14,pob_15_64,pob_65_mas,grado_escolaridad,pea,pob_lengua_indigena,viviendas_totales,promedio_ocupantes_vivienda,pob_sin_afiliacion_salud
Sonora,San Ignacio Río Muerto,San Ignacio Río Muerto,27.41141,-110.24151,14279,6937,7342,3751,9201,1327,8.55,6425,931,4615,3.63,3156
Sonora,San Javier,San Javier,28.59528,-109.73946,537,243,294,171,316,50,8.77,184,4,229,3.44,143
Sonora,San Luis Río Colorado,San Luis Río Colorado,32.47983,-114.77962,199021,98469,100552,50595,133390,14922,9.46,99224,939,72402,3.31,61152
Sonora,San Miguel de Horcasitas,Pesqueira,29.38009,-110.89659,10729,5122,5607,3334,6890,496,6.73,5300,2195,3533,3.84,4353
Sonora,San Pedro de la Cueva,San Pedro de la Cueva,29.28648,-109.73611,1458,665,793,265,868,317,7.7,557,2,1267,2.58,465
Sonora,Santa Ana,Santa Ana,30.54389,-111.12109,16203,8214,7989,4129,10507,1567,9.86,7178,15,6381,3.28,3104
Sonora,Santa Cruz,Santa Cruz,31.23154,-110.59598,1835,873,962,521,1154,160,8.5,689,7,891,3.1,234
Sonora,Soyopa,La Estrella,28.94241,-109.64376,1368,599,769,320,814,234,7.4,575,2,877,2.86,608
Sonora,Suaqui Grande,Suaqui Grande,28.39555,-109.8882,1114,513,601,241,682,191,7.6,472,0,543,3.16,392
Sonora,Sáric,Sásabe,31.47186,-111.54579,2058,979,1079,531,1291,227,7.82,775,5,1078,3.16,588
Sonora,Tepache,Tepache,29.5344,-109.53237,1178,557,621,218,724,236,8.19,389,0,778,2.96,164
Sonora,Trincheras,Trincheras,30.39862,-111.53148,1381,642,739,342,843,196,7.73,554,1,700,2.87,536
Sonora,Tubutama,La Sangre (La Sangre Nueva),30.64217,-111.42092,1473,690,783,329,921,223,7.7,539,6,739,3.02,298
Sonora,Ures,Heroica Ciudad de Ures,29.42808,-110.38958,8548,4097,4451,1674,5453,1421,9.07,4063,15,4334,2.89,847
Sonora,Villa Hidalgo,Villa Hidalgo,30.16311,-109.31987,1429,681,748,335,865,229,8.08,527,3,865,2.89,290
Sonora,Villa Pesqueira,Villa Pesqueira (Mátape),29.11832,-109.96891,1043,451,592,181,648,214,8.35,506,0,664,2.75,385
Sonora,Yécora,Yécora,28.37269,-108.92591,4793,2378,2415,1286,2899,594,7.09,1651,405,2658,3.14,1450
Tabasco,Balancán,Balancán,17.8004,-91.53385,58524,29282,29242,16855,36458,5206,8.27,30295,984,22460,3.43,18142
Tabasco,Centla,Frontera,18.53011,-92.65219,107731,54617,53114,32371,68213,7143,9.32,52046,12028,34495,3.78,39439
Tabasco,Centro,Villahermosa,17.98784,-92.91942,683607,353527,330080,162885,469127,51331,10.96,350487,28902,248143,3.45,211824
Tabasco,Comalcalco,Comalcalco,18.26605,-93.22502,214877,109594,105283,60620,138856,15322,9.14,105632,481,70296,3.67,70068
Tabasco,Cunduacán,Cunduacán,18.06536,-93.1743,137257,69985,67272,40047,87754,9424,8.86,65102,451,44811,3.65,51566
Tabasco,Cárdenas,Cárdenas,17.98943,-93.37686,243229,124434,118795,72473,154079,16657,8.84,111131,822,84713,3.61,80932
Tabasco,Emiliano Zapata,Emiliano Zapata,17.74458,-91.76508,32181,16728,15453,8483,20847,2847,9.62,16020,258,12252,3.38,7056
Tabasco,Huimanguillo,Huimanguillo,17.83517,-93.39077,190885,96975,93910,59092,119048,12728,8.45,88403,503,62848,3.68,64817
Tabasco,Jalapa,Jalapa,17.71973,-92.81217,37749,18870,18879,9458,24927,3354,9.08,19647,116,12760,3.57,9962
Tabasco,Jalpa de Méndez,Jalpa de Méndez,18.17685,-93.0626,91185,46272,44913,25671,59049,6457,9.73,41261,535,27142,3.85,33675
Tabasco,Jonuta,Jonuta,18.09071,-92.13873,30798,15344,15454,8645,19577,2576,8.27,16432,1020,10184,3.55,5776
Tabasco,Macuspana,Macuspana,17.75643,-92.59407,158601,81070,77531,44423,102697,11429,9.33,72686,11455,52633,3.66,43612
Tabasco,Nacajuca,Pomoca,18.05103,-92.93135,150300,77406,72894,40169,101684,8081,10.53,75949,19374,51899,3.58,44047
Tabasco,Paraíso,Paraíso,18.39577,-93.21424,96741,49069,47672,25768,64037,6926,10.04,45131,200,32946,3.64,26188
Tabasco,Tacotalpa,Tacotalpa,17.59179,-92.82628,47905,24151,23754,13651,30519,3733,8.66,21752,10179,15924,3.74,13728
Tabasco,Teapa,Teapa,17.54828,-92.95299,58718,29954,28764,15754,38733,4230,8.68,28304,319,19244,3.63,16144
Tabasco,Tenosique,Tenosique de Pino Suárez,17.47749,-91.42595,62310,31649,30661,17268,39845,5195,8.74,32236,3398,24050,3.41,18508
Tamaulipas,Abasolo,Abasolo,24.06084,-98.37428,9822,4924,4898,2565,6019,1238,7.91,4134,12,4573,3.18,734
Tamaulipas,Aldama,Aldama,22.91931,-98.07371,28725,14378,14347,7623,17874,3228,8.1,13314,129,12799,3.13,3526
Tamaulipas,Altamira,Miramar,22.33647,-97.86633,269790,136484,133306,70329,183545,15132,9.76,132690,3527,107981,3.32,59895
Tamaulipas,Antiguo Morelos,Antiguo Morelos,22.54942,-99.08362,8850,4463,4387,2231,5482,1137,7.86,3837,18,3569,3.18,1140
Tamaulipas,Burgos,Burgos,24.94664,-98.79901,4256,2055,2201,1016,2539,701,7,1640,3,2311,3,618
Tamaulipas,Bustamante,Bustamante,23.43548,-99.75781,7542,3689,3853,2261,4313,968,6.48,2676,2,2450,4.02,1001
Tamaulipas,Camargo,Ciudad Camargo,26.31672,-98.83599,16546,7926,8620,3870,10894,1782,8.1,7870,25,8440,2.59,4533
Tamaulipas,Casas,Casas,23.72713,-98.73784,4143,1965,2178,1271,2391,479,6.26,1277,16,1685,3.44,480
Tamaulipas,Ciudad Madero,Ciudad Madero,22.24628,-97.837,205933,107685,98248,40141,141402,24116,11.74,98559,1527,75722,3.14,37874
Tamaulipas,Cruillas,Cruillas,24.75517,-98.53454,1671,845,826,399,1000,272,7.23,609,5,1101,2.94,131
Tamaulipas,El Mante,Ciudad Mante,22.744,-98.97172,106144,55225,50919,23753,69186,13171,9.68,48928,236,45162,3.06,9884
Tamaulipas,González,Estación Manuel (Úrsulo Galván),22.72899,-98.32147,41470,21102,20368,11422,25701,4339,7.65,18443,254,15913,3.36,8625
Tamaulipas,Guerrero,Nueva Ciudad Guerrero,26.56635,-99.22763,3803,1688,2115,683,2680,440,8.18,2029,7,2062,1.98,451
Tamaulipas,Gustavo Díaz Ordaz,Ciudad Gustavo Díaz Ordaz,26.23397,-98.59028,15677,7811,7866,4017,10015,1622,8.71,7196,36,6747,3.18,6006
Tamaulipas,Gómez Farías,Loma Alta (Loma Alta de Gómez Farías),22.88646,-99.02778,8288,4058,4230,1926,5295,1067,8.35,3580,17,3465,3.18,909
Tamaulipas,Güémez,Güémez,23.91914,-99.00833,15032,7270,7762,3935,9228,1831,7.96,6275,32,6166,3.28,2141
Tamaulipas,Hidalgo,Estación Santa Engracia,24.01659,-99.20176,17012,8323,8689,4031,10080,2901,7.74,7205,18,8886,3.1,2834
Tamaulipas,Jaumave,Jaumave,23.40512,-99.37567,15994,8002,7992,4411,9656,1891,8.5,6638,29,5713,3.63,898
Tamaulipas,Jiménez,Santander Jiménez,24.21449,-98.4857,6375,3204,3171,1579,3999,797,8.69,2496,4,3109,3.18,501
Tamaulipas,Llera,Llera de Canales,23.31896,-99.02363,14645,7177,7468,3413,8692,2540,7.85,6394,57,6953,3.09,1455
Tamaulipas,Mainero,Magueyes,24.56792,-99.54822,2048,1027,1021,461,1148,439,7.5,722,1,1175,2.97,245
Tamaulipas,Matamoros,Heroica Matamoros,25.87992,-97.50482,541979,274081,267898,137470,368765,35069,9.92,274021,4114,195499,3.38,131752
Tamaulipas,Mier,Mier,26.43047,-99.14869,6385,3002,3383,1108,4277,1000,9.1,3201,27,3390,2.13,435
Tamaulipas,Miguel Alemán,Ciudad Miguel Alemán,26.40102,-99.02611,26237,12612,13625,5005,18389,2843,9,15305,84,12213,2.27,7314
Tamaulipas,Miquihuana,Miquihuana,23.57395,-99.7542,3704,1792,1912,1098,2077,487,6.9,1123,0,1498,3.68,120
Tamaulipas,Méndez,Méndez,25.11655,-98.58622,4280,2138,2142,1066,2595,619,7.14,1627,8,2273,3.06,1229
Tamaulipas,Nuevo Laredo,Nuevo Laredo,27.48629,-99.50849,425058,215616,209442,112973,283982,27832,9.98,208620,1737,143080,3.52,111510
Tamaulipas,Nuevo Morelos,Nuevo Morelos,22.53447,-99.22133,3810,1833,1977,1097,2301,412,7.96,1358,48,1556,3.36,310
Tamaulipas,Ocampo,Ocampo,22.84504,-99.33602,13190,6460,6730,3375,7847,1966,8.2,5669,40,5260,3.3,1819
Tamaulipas,Padilla,Nueva Villa de Padilla,24.0488,-98.90029,13618,6767,6851,3619,8315,1684,8.66,5598,12,5332,3.29,1489
Tamaulipas,Palmillas,Palmillas,23.30176,-99.54754,1917,956,961,496,1110,302,7.65,625,2,966,3.21,135
Tamaulipas,Reynosa,Reynosa,26.09235,-98.27813,704767,354406,350361,183050,481897,37438,10.12,367349,6216,275570,3.25,142477
Tamaulipas,Río Bravo,Ciudad Río Bravo,25.981,-98.09014,132484,66363,66121,35409,86969,10040,9.13,64975,627,47952,3.4,35309
Tamaulipas,San Carlos,San Carlos,24.58177,-98.94364,7411,3556,3855,1691,4363,1357,7.05,2772,0,3444,3.13,844
Tamaulipas,San Fernando,San Fernando,24.84868,-98.15962,51405,25693,25712,14121,32261,5020,8.44,23166,152,21779,3.31,7993
Tamaulipas,San Nicolás,Flechadores,24.5227,-98.67794,926,432,494,252,572,98,7.36,142,0,490,3.32,87
Tamaulipas,Soto la Marina,Soto la Marina,23.76704,-98.20619,23673,11570,12103,6063,15246,2360,7.88,11087,151,10465,3.04,2906
Tamaulipas,Tampico,Tampico,22.21606,-97.85839,297562,155805,141757,58750,203139,34973,11.47,148196,2644,109591,3.16,59681
Tamaulipas,Tula,Ciudad Tula,22.99688,-99.713,28230,14220,14010,8426,16446,3358,7.71,11877,39,10749,3.63,2851
Tamaulipas,Valle Hermoso,Valle Hermoso,25.6738,-97.81245,60055,30613,29442,15374,38840,5827,9.21,28511,107,22976,3.31,10814
Tamaulipas,Victoria,Ciudad Victoria,23.73105,-99.15125,349688,180459,169229,83245,236254,29907,11.44,174042,654,124897,3.42,47692
Tamaulipas,Villagrán,Villagrán,24.47319,-99.48811,5361,2626,2735,1310,3116,935,7.07,2206,8,2466,3.18,699
Tamaulipas,Xicoténcatl,Xicoténcatl,22.99677,-98.94568,22229,11294,10935,5202,14317,2709,9.28,9193,26,9322,3.15,2512
Tlaxcala,Acuamanala de Miguel Hidalgo,Concepción Chimalpa,19.21636,-98.19836,6432,3248,3184,1720,4324,369,9.63,3083,99,1772,4.25,1190
Tlaxcala,Amaxac de Guerrero,Amaxac de Guerrero,19.35029,-98.16957,11403,5849,5554,2783,7666,943,10.89,5521,139,3767,3.79,2887
Tlaxcala,Apetatitlán de Antonio Carvajal,Apetatitlán,19.33226,-98.19682,16003,8258,7745,3967,10670,1270,11.19,7867,137,4990,3.72,4257
Tlaxcala,Apizaco,Ciudad de Apizaco,19.41633,-98.14061,80725,42258,38467,18768,54696,7192,10.86,40129,595,28836,3.55,22445
Tlaxcala,Atlangatepec,Zumpango,19.55537,-98.2147,7087,3629,3458,2019,4485,583,8.41,3156,43,2541,3.69,1117
Tlaxcala,Atltzayanca,Atlzayanca,19.43136,-97.79653,18111,9168,8943,5196,11367,1539,8.08,9271,27,5434,3.99,4722
Tlaxcala,Benito Juárez,Benito Juárez,19.58451,-98.42636,6211,3248,2963,1826,3997,378,8.48,2597,8,1826,4.03,774
Tlaxcala,Calpulalpan,Heroica Ciudad de Calpulalpan,19.58853,-98.57048,51172,26556,24616,14219,33399,3518,9.42,24547,173,15018,3.98,12694
Tlaxcala,Chiautempan,Santa Ana Chiautempan,19.31398,-98.19296,73215,37964,35251,17854,47910,5825,10.46,36973,1653,22233,3.91,19341
Tlaxcala,Contla de Juan Cuamatzi,Contla,19.33452,-98.16791,38579,19787,18792,9710,25913,2831,9.9,19996,4476,10870,4.15,12290
Tlaxcala,Cuapiaxtla,Cuapiaxtla,19.29666,-97.76938,16222,8250,7972,4727,10432,1059,8.26,7285,15,4619,4.19,3392
Tlaxcala,Cuaxomulco,Cuaxomulco,19.35581,-98.10312,5928,3026,2902,1564,3843,499,9.7,2726,35,1965,3.9,986
Tlaxcala,El Carmen Tequexquitla,Villa de El Carmen Tequexquitla,19.32459,-97.65916,17332,8927,8405,5223,11030,1079,8.04,7241,28,5235,4.16,3740
Tlaxcala,Emiliano Zapata,Emiliano Zapata,19.55881,-97.9172,4951,2524,2427,1514,3124,305,7.99,2076,4,1496,3.99,499
Tlaxcala,Españita,Españita,19.4623,-98.42381,9416,4830,4586,2742,5754,902,8.31,3777,31,3692,3.83,2315
Tlaxcala,Huamantla,Huamantla,19.31266,-97.9231,98764,51003,47761,28197,64298,6186,9.12,47294,246,28544,4.11,28816
Tlaxcala,Hueyotlipan,Hueyotlipan,19.46999,-98.3485,15190,7764,7426,4191,9591,1373,8.59,6606,42,5322,3.93,2687
Tlaxcala,Ixtacuixtla de Mariano Matamoros,Villa Mariano Matamoros,19.32665,-98.37711,38970,20054,18916,9837,25721,3400,9.66,19616,168,13028,3.83,11811
Tlaxcala,Ixtenco,Ixtenco,19.25114,-97.89511,7504,3882,3622,1884,4815,805,9.83,3785,389,2831,3.81,1346
